model_key,dim_key,q_gate,sev_sum_gate,require_rule_match,recall,acc,delta_recall_vs_nollm,delta_acc_vs_nollm,pass_acc_guard,result_csv
hgsthms5c4040ale640,compact9,0.55,0.8,0,56.90476190500001,99.49602609600001,-18.333333333999995,0.099690214000006,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hgsthms5c4040ale640_compact9_q55_s08_r0_qwen35p20k_D10_H05000_i10.csv
hgsthms5c4040ale640,compact9,0.55,0.8,1,56.90476190500001,99.49602609600001,-18.333333333999995,0.099690214000006,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hgsthms5c4040ale640_compact9_q55_s08_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact9,0.0,0.0,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q00_s00_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact9,0.0,0.0,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q00_s00_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact9,0.0,0.8,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q00_s08_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact9,0.0,0.8,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q00_s08_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact9,0.35,0.0,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q35_s00_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact9,0.35,0.0,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q35_s00_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact9,0.35,0.8,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q35_s08_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact9,0.35,0.8,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q35_s08_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact9,0.55,0.0,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q55_s00_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact9,0.55,0.0,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q55_s00_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact9,0.55,0.8,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q55_s08_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact9,0.55,0.8,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact9_q55_s08_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact14,0.0,0.0,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact14_q00_s00_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact14,0.0,0.0,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact14_q00_s00_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact14,0.0,0.8,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact14_q00_s08_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact14,0.0,0.8,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact14_q00_s08_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact14,0.35,0.0,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact14_q35_s00_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact14,0.35,0.0,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact14_q35_s00_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact14,0.35,0.8,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact14_q35_s08_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact14,0.35,0.8,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact14_q35_s08_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact14,0.55,0.0,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact14_q55_s00_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact14,0.55,0.0,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact14_q55_s00_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact14,0.55,0.8,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact14_q55_s08_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,compact14,0.55,0.8,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_compact14_q55_s08_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,full70,0.0,0.0,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_full70_q00_s00_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,full70,0.0,0.0,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_full70_q00_s00_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,full70,0.0,0.8,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_full70_q00_s08_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,full70,0.0,0.8,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_full70_q00_s08_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,full70,0.35,0.0,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_full70_q35_s00_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,full70,0.35,0.0,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_full70_q35_s00_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,full70,0.35,0.8,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_full70_q35_s08_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,full70,0.35,0.8,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_full70_q35_s08_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,full70,0.55,0.0,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_full70_q55_s00_r0_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,full70,0.55,0.0,1,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_full70_q55_s00_r1_qwen35p20k_D10_H05000_i10.csv
hitachihds5c4040ale630,full70,0.55,0.8,0,0.0,99.921340354,0.0,0.0,True,/root/autodl-tmp/StreamDFP/hi7_example/phase3b7_hitachihds5c4040ale630_full70_q55_s08_r0_qwen35p20k_D10_H05000_i10.csv
